name,address1,address2,city,state,zipcode,country,contact_info,email,reg_no,descriptions
Lian Hin Lee Agriculture S/B,No 25 Jalan Puncak Kampar Taman Puncak Kampar," ",Kampar,Perak,31900,Malaysia,"Tel. 012-5199808 Fax. ",,318191-K,"GST No. 000396357632 "
Tenaga Nasional Berhad,"Aras 16, Wisma TNB No. 19, Jalan Timur"," ",Petaling Jaya,Selangor,46200,Malaysia,"Tel. 05-4651199 Fax. ",,,"GST No. 001107427328 "
Pahang Pharmacy Sdn Bhd,"31 Jalan Pjs 11/1, Bandar Sunway "," ",Petaling Jaya,Selangor,46150,Malaysia,"Tel.  Fax. ",,10826-k,"GST No. 001917788160 "
DIGI Telecommunications Sdn. Bhd.,"Lot 10, Jalan Delima 1/1 Subang Hi-Tech Industrial Park"," ",Shah Alam,Selangor,40000,Malaysia,"Tel.  Fax. ",,201283-M,"GST No. 001211957248 "
Maxis Mobile Services Sdn. Bhd.,"Level 21, Menara Maxis "," Kuala Lumpur City Centre",,Kuala Lumpur,50088,Malaysia,"Tel.  Fax. ",,73315-V,"GST No. 000311951360 "
Kwan Teow Cheang (M) Sdn Bhd,"SL-13,SL-14, KG.COLDSTREAM"," ",BIDOR,PERAK,35500,Malaysia,"Tel.  Fax. ",,138739-W,"GST No. 000571375616 "
Telekom Malaysia Berhad,"Level 51, Menara TM,"," ",,Kuala Lumpur,50672,Malaysia,"Tel.  Fax. ",,128740-P,"GST No. 000084049920 "
Unitin Engineering & Construction Sdn. Bhd.,"5B-7B, Jalan Awan Hijau O.U.G. 5th Miles Off Jalan Klang Lama"," ",Kuala Lumpur,,58200,Malaysia,Tel. 03-79817470 Fax. 03-79817475,,135662-X,"GST No. 001799094272 "
Perniagaan Bintang,"11, Pekan Baru "," ",Malim Nawar,Perak,31700,Malaysia,"Tel.  Fax. ",,IP0048232-U,"GST No. 000446488576 "
Farmsfield Sdn Bhd,"No3,Jalan Canggih 8, Taman Perindustrian Cemerlang,"," ",Ulu Tiram,,81800,Malaysia,"Tel.  Fax. ",,568179-P,"GST No. 000255295488 "
UMW TOYOTA MOTOR SDN BHD,NO.4789 JLN Kuala Kangsar," ",,Ipoh,30010,Malaysia,"Tel.  Fax. ",,060576-k,"GST No. 001560545280 "
Thye Xing Trading,"No.25,Persiaran Pakatan Jaya 9, Taman Pakatan Jaya","Ulu Kintan, ",,Perak,31150,Malaysia,"Tel.  Fax. ",,,"GST No.  "
H.H.Hock Hen Trading Sdn Bhd,"1543 ,  Jalan Air Lintas ,"," ",Nibong Tebal,Seberang Prai ( S ),14300,Malaysia,"Tel. 04-5935460 Fax. ",,626678-W,"GST No. 000238452736 "
Chin Leong Farm,"62, Jln Lintang Perdana 4 Taman Lintang Perdana"," ",,Perak,31100,Malaysia,"Tel.  Fax. ",,IP0135650-D,"GST No.  "
Ely Agri Sdn Bhd,831  Taman Jimah Indah Site 'A'," ",Sepang Pos,Selangor,43900,Malaysia,"Tel. 016-6628007 Fax. ",,907808-U,GST No.  GST NO:001734664192
Spf Agriculture (bidor) Sdn. Bhd.,"K 39, Jalan 3,  Taman Bukit Bidor"," ",Bidor,Perak,35500,Malaysia,"Tel.  Fax. ",,401182-W,"GST No. 000035471360 "
Y & Y Agro Trading,"No 499,Jalan Besar "," ",Tanjung Sepat,Selangor,42800,Malaysia,"Tel.  Fax. ",,BC0002594-X,"GST No. 000174084096 "
Yoon Fook & Son Agricultural Farming S/b,"343 Kuala Kuang  "," ",Chemor,Perak,31200,Malaysia,"Tel.  Fax. ",,327647-X,"GST No. 000491151360 "
Hup Fatt Motor Enterprise,"3, Laluan Perusahaan Menglembu 7 Kawasan Perindustrian"," Bandar Baru Menglembu (Zon Kledang)",Menglembu,Perak,31450,Malaysia,"Tel. 05-2821960, 2825351 Fax. ",,000239915-V,"GST No. 000231972864 "
Farmwell Agriculture Farming,"No. 45, Persiaran Tasek Timur 31 Taman Seri Gaya"," ",Ipoh,Perak,31400,Malaysia,"Tel. 012-5237988 Fax. ",,IP0226424-H,"GST No. 001649754112 "
Boustead Petroleum Marketing Sdn. Bhd.,"Level 15, Surian Tower No. 1, Jalan PJU 7/3"," Mutiara Damansara",Petaling Jaya,Selangor,47810,Malaysia,"Tel. 03-78416666 Fax. ",,5783-T,"GST No. 001707425792 "
Sun Hing Weighing Scales Sdn. Bhd.,"No. 19, Dataran Kledang 6 Kawasan Perindustrian Chandan Raya"," ",Menglembu,Perak,31450,Malaysia,"Tel. 05-2821493 Fax. ",,908998-T,"GST No. 000574963712 "
Ari Utara Sdn. Bhd.,"Lot 28, Taman Perindustrian Bukit Makmur "," ",Sg. Petani,Kedah,8000,Malaysia,"Tel. 04-4422899 Fax. ",,273092-U,"GST No. 000240123904 "
UMW Industries (1985) Sdn. Bhd.,"93, Persiaran Klebang 1 Kawasan Perindustrian IGB","Off Jalan Kuala Kangsar ",Ipoh,Perak,32100,Malaysia,"Tel. 05-2911460 Fax. ",,003470-X,"GST No. 000921698304 "
Seri Makmur Enterprise,No 131-133 Jalan Raja Musa Aziz (Anderson Road)," ",Ipoh,Perak,30300,Malaysia,"Tel. 05-2538887, 2552281 Fax. ",,IP0048384-H,"GST No. 002108358656 "
Kedai Logam Heng Fatt,"No 95, Kg Baru "," ",Malim Nawar,Perak,31700,Malaysia,"Tel. 05-4771313 Fax. ",,IP414147-M,"GST No. 001085546496 "
South Pacific Radio Co. Sdn. Bhd.,"146, Jalan Pasir Puteh "," ",Ipoh,Perak,31650,Malaysia,"Tel.  Fax. ",,100887-P,"GST No. 000419315712 "
Syarikat Kamparly Auto & Hardwares Sdn. Bhd.,"No. 37, Jalan Idris "," ",Kampar,Perak,31900,Malaysia,"Tel. 05-4652457 Fax. ",,053376M,"GST No. 000220192768 "
Fomema Sdn. Bhd.,"W-10-01, Level 15, West Wing The Icon @ Tun Razak","No. 1, Jalan 1/68F, Jalan Tun Razak ",Kuala Lumpur,,50400,Malaysia,"Tel. 03-27828777 Fax. ",,,"GST No. 000231833600 "
Golden Star Machinery & Hardware Sdn. Bhd.,"1741, Jalan Dua Lahar Bubu"," ",Kepala Batas,Penang,13200,Malaysia,"Tel. 04-5750112 Fax. ",,1121575-T,"GST No. 000162897920 "
YEE LEE TRADING CO SDN BHD,"Lot 85, Jalan Portland","Tasek Industrial Estate ",,Perak,31400,Malaysia,"Tel. 05-2908219 Fax. ",,7849-A,"GST No. 000844398592 "
Ya Zhou Trading,"No.29 Jalan Industri Mas 12, Taman Mas"," ",Puchong,Selangor,47100,Malaysia,"Tel. 019-2211012 Fax. ",,000935516-A,"GST No. 000037494784 "
DMIT Technology,"No. 10, Lorong Perindustrian Bukit Minyak 4 Taman Perindustrian Bukit Minyak"," ",Simpang Ampat,Penang,14100,Malaysia,"Tel. 012-5560308 Fax. ",,PG0312655-U,"GST No.  "
FULLYEE PETROLEUM PLT,"PT 10041, Jalan Johan 2/8,",Kawasan Perindustrian Pengkalan II Pusing,Ipoh,Perak,31550,Malaysia,"Tel. 012-5128115 Fax. ",,LLP 0001629-LGN,"GST No. 000855461888 "
Ayer Tawar Auto Care And Accessories Sdn Bhd,"No. 01, Jalan Besar,","Taman Sri Indah ",Ayer Tawar,Perak,32400,Malaysia,"Tel. 05-6722200 Fax. ",,747064-M,"GST No. 002057359360 "
KK Auto Service,"11A,Laluan Kangsar7, Off Jalan Kuala Kangsar,"," ",Ipoh,Perak,30010,Malaysia,Tel. 05-5062018 Fax. 05-5062018,,IP0225809-X,"GST No. 000420093952 "
Nanosys Jaya Resources,"16,Jalan 1A, Kepong Ulu,"," ",,Kuala Lumpur,52100,Malaysia,"Tel. 012-6570777 Fax. ",,001965087-W,"GST No. 000072572928 "
F.A. Automobiles(Ipoh)Sdn Bhd,"No. 81, Jalan Kuala Kangsar,"," ",Ipoh,Perak,30010,Malaysia,Tel. 05-5060117 Fax. 05-5060119,,523615-P,"GST No. 001601658880 "
Federal Machinery And Industrial Supplies,"No. 33A, Jalan Datok "," ",Ipoh,Perak,30000,Malaysia,"Tel. 05-2535688, 2541798, 2541742 Fax. ",,000454860-D,"GST No. 001744551936 "
OMS Resources Sdn. Bhd.,"Lot 16014, Jalan Nilam 3 Nilai Utama Enterprise Park","Bandar Nilai Utama ",Nilai,Negeri Sembilan,71800,Malaysia,"Tel. 06-7999090 Fax. ",,611524-W,"GST No. 001511661568 "
Peterlabs Sdn. Bhd.,"Lot 16014, Jalan Nilam 3 Nilai Utama Enterprise Park","Bandar Nilai Utama ",Nilai,Negeri Sembilan,71800,Malaysia,"Tel. 06-7999090 Fax. ",,594810-K,"GST No. 000409190400 "
Kampar Medical Supplies Sdn. Bhd.,"28, Jalan Idris "," ",Kampar,Perak,31900,Malaysia,"Tel. 05-4651684 Fax. ",,132191-M,"GST No. 00162920496 "
Digitaleye Technology Sdn. Bhd.,"98 & 100, Jalan Raja Musa Aziz Anderson Road"," ",Ipoh,Perak,30300,Malaysia,"Tel. 05-2438296, 2439127 Fax. ",,570442-W,"GST No. 000621842432 "
Sin Hua Chiao Sdn. Bhd.,"No. 154, Jalan Lahat "," ",Ipoh,Perak,30200,Malaysia,"Tel. 05-2829482, 2829484 Fax. ",,199174-D,"GST No. 000914276352 "
Sri Cahaya Kampar Enterprise,"NO.13, Jalan Ampang,"," ",Kampar,,31900,Malaysia,"Tel.  Fax. ",,IP-0351076-D,"GST No. 001173291008 "
FFM Farms Sdn. Bhd.,"PT 45125, Batu 15 1/2 P.O. Box 78"," Sungai Pelong",Sungai Buloh,Selangor,47000,Malaysia,"Tel.  Fax. ",,122384-D,"GST No. 001273970688 "
Soon Soon Oilmills Sdn. Bhd.,PLOT 55711 JALAN MAWAR,PELABUHAN BARAT PULAU INDAH,,SELANGOR,42920,Malaysia,Tel. 03-310111102 Fax. 03-31011355,,37441-T,"GST No. 002082308096 "
HL Utara Enterprise Sdn Bhd,"A-9 ,Taman Padi Emas 2, Jalan Alor Mengkudu"," ",Alor Setar,Kedah,5400,Malaysia,"Tel. 012-3705157 Fax. ",,1078673-A,"GST No. 000503496704 "
Green Aquatic Feed (M) Sdn Bhd,"No.8A, Medan Istana 3,","Bandar Ipoh Raya, ",Ipoh,Perak,3000,Malaysia,"Tel.  Fax. ",,1072009-K,"GST No.  "
Win Hing Electrical Service,"7,Persiaran Harmoni, Desa Lawan Kuda,"," ",Gopeng,Perak,31600,Malaysia,"Tel. 05-3591820,012-5386992 Fax. ",,IP0208307-A,"GST No.  "
Thong Fatt Jaya Machinery Hardware Sdn Bhd,"No.775-779, Jalan Kuala Kangsar,","Taman Tasek Jaya ",Ipoh,Perak,31400,Malaysia,"Tel. 05-5468659 Fax. ",,176024-V,"GST No. 001806041088 "
Lumut Feedmill Sdn Bhd,"No.475 Batu 1, Jalan Damar Laut,"," ",Lumut,Perak,32200,Malaysia,"Tel. 05-6690050 Fax. ",,1072982-U,"GST No. 001666797568 "
LS QUARRY WORKS SDN BHD,"14 Persiaran Sengat Baru 4, Taman Bersatu,","KG.Kepayang ",Ipoh,Perak,31300,Malaysia,"Tel.  Fax. ",,906106-W,"GST No. 000403316736 "
LSH FARMS SDN BHD,"10,Hala Lapangan Siber 3, Bandar Siber,"," ",Ipoh,Perak,31350,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Tapak Tegas Sdn. Bhd.,"831, Taman Jimah Indah, Site A "," ",Sepang,Selangor,43900,Malaysia,"Tel.  Fax. ",,496923-T,"GST No. 000752934912 "
QL Pacific Vet Group Sdn. Bhd.,"Bay C8,Lot 886 Jalan Subang 9, Taman Industri Sg.Penaga,"," ","Subang Jaya,",Selangor,47500,Malaysia,Tel. 03-80249508 Fax. 03-80249634,,498932-T,"GST No. 000487362560 "
NGK FIBC INDUSTRIES PLT,"NO.LC87, Tepi Sungai,"," ","Kuala Sepetang,",Perak,34650,Malaysia,"Tel. 019-5905518,019-6675518 Fax. 05-8581518",,LLP0006514-LGN,"GST No. 001952567296 "
Chop Eng Aik Sdn Bhd,"No.1151, Jalan Syed Abu Bakar,"," ",Teluk Intan,Perak,36000,Malaysia,"Tel. 05-6225680,05-6222764 Fax. 05-6212261",,217105-U,"GST No. 000090644480 "
AMEDA IT AND COMMUNICATION,"No.19, Jalan Idris,"," ",Kampar,Perak,31900,Malaysia,"Tel. 05-4652924/019-4358897 Fax. ",,IP0208990-M,"GST No. 000084643840 "
VK Power Automation Sdn. Bhd.,84-84A Lebuh Bercham Timur Taman Bercham Suria," ",31400,Perak,Ipoh,Malaysia,"Tel. 05-5467188 Fax. ",info.vkpower@gmail.com,1017226-A,"GST No. 000526188544 "
Flexcizer Sdn Bhd,"58-60,Hala Perusahaan Kledang Utara 2, Kawasan Perusahaan Menglembu,"," ",Menglembu,Perak,31450,Malaysia,"Tel. 016-5303210,016-5592978 Fax. 05-2828320",,872594-A,"GST No. 001703419904 "
Expressway Tayar Servis Sdn Bhd,"2-4,Jalan Jubilee, "," ",Ipoh,Perak,30300,Malaysia,"Tel.  Fax. ",,68767-H,"GST No. 001921089536 "
DSOP Office System & Supplies Sdn Bhd,"2688, Jalan Perusahaan,","Kawasan Perusahaan Prai, ",Prai,Penang,13600,Malaysia,"Tel. 04-3978787/05-5478868 Fax. ",,153639-H,"GST No. 002117836800 "
Truck & Tanker Builder Sdn. Bhd.,"PT 131515, Laluan Industri Lahat 1 Kawasan Perindustrian Rima"," ",Lahat,Perak,31500,Malaysia,"Tel. 053222688 Fax. ",,575268-K,"GST No. 001952604160 "
Ro Sai Sdn Bhd," "," ",,,,Malaysia,"Tel.  Fax. ",,1046396-U,GST No.  MR Yeong(Dung)
TC Trucks Sales Sdn. Bhd.,"Lot 181641, Lebuh Perusahan 9 Kawasan Perusahaan IGB"," ",Chemor,Perak,31200,Malaysia,"Tel. 05-2922028 Fax. ",,927566-T,"GST No. 002062061568 "
Yan Yan  General Merchant,"71,Market Street, "," ",Ipoh,Perak,30000,Malaysia,Tel. 05-2412486 Fax. 05-2535917,,000308488-D,"GST No. 001522941952 "
MY E.G. Sdn. Bhd.,"Lot 8.02, Level 8 First Avenue",Persiaran Bandar Utama Bandar Utama,Petaling Jaya,Selangor,47800,Malaysia,"Tel.  Fax. ",,472638-X,"GST No. 000974528512 "
Pan Continental Enterprise Sdn Bhd,"No.41, Jalan Bendahara,"," ",Ipoh,Perak,31650,Malaysia,"Tel. 05-2498333/1 Fax. ",,28806-X,"GST No. 001789083648 "
Chop Heng Fatt Tyre Retreading,"No. 524, Jalan Bunga Sri Pagi Taman Malim Nawar"," ",Malim Nawar,Perak,31700,Malaysia,"Tel. 05-4771342, 012-5001403 Fax. ",,,"GST No.  "
Harvest Unites Enterprise Sdn Bhd,"77,Persiaran Kelebang 1, Kawasan Perindustrian IBG,","Off Jalan Kuala Kangsar, ",Ipoh,Perak,30010,Malaysia,"Tel.  Fax. ",,862199-X,"GST No. 000541917184 "
Cheong Yooi Min," "," ",,,,Malaysia,"Tel. 016-5535667 Fax. ",,,GST No.  750413-08-5667
Phoon Kee Hooi(Ah Hoi),"No 18, Persiaran Kledang Timur 4,","Bandar Baru ",Menglembu,Perak,31450,Malaysia,"Tel.  Fax. ",,,GST No.  480327-08-5305
"Lok Hup Bakery ","No.32,Lintasan Perajurit 17-H, Taman Perdagangan & Perindustrian,"," ",Ipoh,Perak,31400,Malaysia,"Tel. 05-5473776,016-4438776 Fax. ",,IP0336992-W,"GST No.  "
Soon Kim Yuan (AhQing),"No.33, Jalan Manggis,","Taman Kampar Jaya ",Kampar,Perak,31900,Malaysia,"Tel. 016-5629551 Fax. ",,IP0305544-H,"GST No.  "
Pasar Awam Gopeng," "," ",,,Gopeng,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Hup Soon Plastic Trading Sdn Bhd,"P.T 38820 Plot 150, Hala Perusahaan Menglembu 9,"," ",Menglembu,Perak,31450,Malaysia,"Tel. 05-2822894,016-5592978 Fax. ",,146517-W,"GST No. 000822644736 "
Lim Weng Choy," "," ",,,,Malaysia,"Tel. 011-34144400 Fax. ",,,"GST No.  "
Chan Him Wah Construction,"No.1076,Jalan Lenggong Buntong N/V "," ",Ipoh,Perak,30100,Malaysia,"Tel. 019-5112214,05-2558205 Fax. ",,IP0047734-P,"GST No. 001882365952 "
Tan Choi Hin Sdn. Bhd.,"No. 1220, MK.16, Jalan Bagan Lallang Satu "," Kawasan Perusahaan Acku",Butterworth,Penang,13400,Malaysia,"Tel. 04-3314733 Fax. ",,189533-U,"GST No. 001460830208 "
BD Agriculture(Malaysia) Sdn Bhd,"No.20,Lorong Keluli 1B, "," ",Shah Alam,Selangor,40000,Malaysia,"Tel. 03-33615555 Fax. ",,644121-W,"GST No. 000246284288 "
GP Search Sdn. Bhd.,4A Lorong Koperasi 1 Medan Koperasi," ",Taiping,Perak,34000,Malaysia,"Tel. 05-8081212 Fax. ",,1005471-T,"GST No. 000365961216 "
Tasek Sri Tayar Sdn Bhd,NO.633 Jalan Tasek Taman Sri Tasek," ",Ipoh,Perak,31400,Malaysia,"Tel. 05-5454110/012-5172185 Fax. ",,82767-X,"GST No. 002080047104 "
Ernst & Young Tax Consultants Sdn. Bhd.,"21 & 23 Jalan Hussein "," ",Ipoh,Perak,30250,Malaysia,Tel. 05-2411255 Fax. 05-2538427,,179793-K,"GST No. 000021962752 "
United Plantations Berhad,240-A Jendarata Estate," ",Teluk Intan,Perak,36009,Malaysia,"Tel. 05-6411411 Fax. ",,,"GST No. 001103642624 "
Chop Keat Seng,"No.28, Jalan Foo Choo Choon,"," ",Ipoh,Perak,30300,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Yik Soon Casting Sdn Bhd,"136B, Jalan Kuala Kangsar,"," ",Ipoh,Perak,30010,Malaysia,"Tel. 05-5062680,05-5060688 Fax. ",,29450-P,"GST No. 000085696512 "
E&Y Farming,"Pt 852, Tmn. Jimah Indah Kg Baru Site A"," ",Sepang,Selangor,43900,Malaysia,"Tel.  Fax. ",,NS 0140668-U,"GST No. 001763336192 "
Health Mate Pharmacy Sdn Bhd,"106,Jalan Idris, "," ",Kampar,Perak,31900,Malaysia,"Tel.  Fax. ",,1141086-U,"GST No. 001412780032 "
Tan Chong Industrial Equipment Sdn Bhd,"Lot 181641, Lebuh Perusahaan Klebang 9,","Kawasan Perusahaan IGB, ",Chemor,Perak,31200,Malaysia,"Tel. 05-2921098 Fax. ",,13285-X,"GST No. 000315244544 "
Hong Li Agri Sdn Bhd,"No.166 Tanjong Layang, "," ",Tanjong Sepat,Selangor,42800,Malaysia,"Tel.  Fax. ",,491802624,"GST No.  "
T.b.m. Sdn.bhd,"10-H-1, Jalan Tun Abdul Razak"," ",Ipoh,Perak,30100,Malaysia,"Tel. 05-5064993,5061415 Fax. 05-5062533",,46613-W,"GST No. 001882333184 "
CON AGRA FOODS,"No 6, Jalan Jelapang,","Taman Silibin ",Ipoh,Perak,30100,Malaysia,Tel. 012-6173971 Fax. 05-2826512,,IP0434549-K,"GST No.  "
C S Commercial (Ipoh) Sdn Bhd,"No.18,Hala Rapat Baru 23, Kawasan Perindustrian Ringan Kinta Jaya,","Jalan Gopeng, ",Ipoh,Perak,31350,Malaysia,"Tel. 05-3135984 Fax. ",,832549-M,"GST No. 000815939584 "
Hong Guan Co,"4,Jalan 3, Housing Trust"," ",Ipoh,Perak,30250,Malaysia,"Tel. 012-5037289 Fax. ",,,"GST No.  ONG SOON LEONG
640911-08-5283"
Viatak Enterprise Company Sdn Bhd,"Lot 149665, Lebuh Klebang 2,",IGBinternational Industrial park off Jalan Kuala Kangsar,Chemor,Perak,31200,Malaysia,"Tel. 05-2919688,05-2923481 Fax. ",,,"GST No.  "
Nikaijaya Motor Sdn Bhd(Ipoh),"Lot 2917S, Jalan Raja Permaisuri Bainun,","Jalan Kampar ",Ipoh,Perak,30250,Malaysia,"Tel.  Fax. ",,96696-V,"GST No. 001192837120 "
BMSTAR Technology Sdn Bhd,"33,33A,33B, Jalan Medan Ipoh 1A,","Medan Ipoh Bistari, ",Ipoh,Perak,31400,Malaysia,"Tel. 05-5487818 Fax. ",,1136263-D,"GST No. 000911028224 "
City-Link Express(M) Sdn Bhd,"No G-7 Jalan Pasar, "," ",Kampar,Perak,31900,Malaysia,"Tel. 05-4671550/1551 Fax. ",,,"GST No. 000348061696 "
KM LEE AGRO FARM SDN BHD,"3, Jalan Pelangi 2 Taman Pelangi"," ",Tanjung Sepat,Selangor,42800,Malaysia,"Tel.  Fax. ",,1123036 X,"GST No. 002125811712 "
Sun Hup Leak Workshop Sdn Bhd,"No.43(PT5122), Jalan Industri 2,","Kawasan Perindustrian Taman Bandar Baru, ",Kampar,Perak,31900,Malaysia,"Tel. 05-4665858/4665588 Fax. ",,708858-A,"GST No. 001704755200 "
Metrology Corporation Malaysia Sdn Bhd,"No.82,Jalan Putra A/8, Taman Klebang Putra"," ",Chemor,Perak,31200,Malaysia,"Tel. 05-2912488 Fax. ",,499924-K,"GST No. 000643072000 "
Glory Workshop,"37, Jalan Durian Taman Kampar Jaya"," ",Kampar,Perak,31900,Malaysia,"Tel. 012-5050615 Fax. ",,,"GST No.  "
Syarikat Ipoh Hardware Sdn. Bhd.,"100-106 Jalan Lahat "," ",Ipoh,Perak,30200,Malaysia,"Tel. 05-2559506 Fax. ",,120143-X,"GST No. 002090795008 "
Yeap Shiong Tai Farm,"646,Lorong 5 Kampong Bercham"," ",Ipoh,Perak,31400,Malaysia,"Tel. 017-2465241 Fax. ",,IP0435694-H,"GST No. 002084777984 "
Shern Lou Enterprise Sdn. Bhd.,"18, Persiaran Perindustrian Pengkala 29A Taman Industri Pengkalan"," ",Lahat,Perak,31500,Malaysia,Tel. 053222620 Fax. 053222602,,734025-H,"GST No. 001501437952 "
Perniagaan Wah Sing Sdn Bhd(Puchong),"Gerai CU-WH5, Jalan Puchong Sri Kembangan,","Pasar Borong Selangor, ",Puchong,Selangor,43300,Malaysia,"Tel. 03-89454017(5am-8pm) Fax. ",,,"GST No.  "
Perniagaan Wah Sing Sdn Bhd(NSK Selayang),"Lot 4674, Batu 8 Jalan Ipoh,"," ",Selayang,Selangor,68100,Malaysia,"Tel. 012-3377356(Mr.Low) Fax. ",,,"GST No.  "
Keong Heng,"PT2480, Taman Industri,","Maju Perak ",Langkap,Perak,36700,Malaysia,"Tel. 019-5577131 Fax. ",,IP0037718-D,"GST No. 001965572096 "
Prohealth Farming,"Lot 65548, Selasar Rokam 20,","Kg.Sri Ampang ",Ipoh,Perak,31350,Malaysia,"Tel. 012-5159831 Fax. ",,IP0363249-T,"GST No.  "
Generous Management Services,"No. 26A, Tawas Idaman 3 Taman Tawas Idaman"," ",Ipoh,Perak,31200,Malaysia,"Tel. 05-2922262 Fax. ",,IP0292965-V,"GST No. 001042354176 "
Yee Wah Entetprise,"No.60 Jalan Wangsa 1/8,","Wangsa Permai, ",Kepong,KL,52100,Malaysia,"Tel. 019-2727751 Fax. ",,,"GST No.  "
Tin Ho Trading,"27,Gunung Hijau EST, "," ",Pusing,Perak,31550,Malaysia,"Tel.  Fax. ",,IP0312947-T,"GST No. 000331767808 "
KMB Resources Sdn. Bhd.,"6, Jalan Zarib 6 "," Zarib Industrial Park",Ipoh,Perak,31500,Malaysia,"Tel. 053229239 Fax. ",,408368-H,"GST No. 000908492800 "
Hock Faat Envelope Trading,"12,Jalan Masjid(Hume ST) "," ",Ipoh,Perak,30300,Malaysia,"Tel. 05-2432168/012-4509207 Fax. ",,IP 0287804-P,"GST No. 000045453312 "
Simeng Motor Sdn Bhd,"No.224, Jalan Pasir Puteh,"," ",Ipoh,Perak,36150,Malaysia,"Tel. 05-2539525 Fax. ",,181886-D,"GST No.  "
AirAsia X Berhad,LCC Terminal Jalan KLIA S3,Southern Support Zone KLIA,Sepang,Selangor,64000,Malaysia,"Tel.  Fax. ",,,"GST No. 000018325504 "
Lay Hong Berhad,"No.2,Level 10-12,Wisma Lay Hong, Jalan Empayar off Persiaran Sultan Ibrahim/KU1"," ",Klang,Selangor,41150,Malaysia,"Tel. 03-33434888 Fax. ",,107129-H,"GST No. 000398360576 "
Kobahan Sdn Bhd,"42,Jalan Pelangi 12, Taman Pelangi,"," ",Tanjong Sepat,Selangor,42800,Malaysia,"Tel.  Fax. ",,654057,"GST No. 001403305984 "
Earning Concept Sdn Bhd,"No.31 &32, Jalan Industri 6,","Taman Perindustrian Temerloh, ",Mentakab,"Pahang ",28400,Malaysia,"Tel. 012-9087955 Fax. ",,,"GST No. 000596967424 "
Hup Soon Plastic Industrial(M) Sdn Bhd,"P.T 38820 Plot 150, Hala Perusahaan Menglembu 9,"," ",Menglembu,Perak,31450,Malaysia,"Tel. 05-2822894,016-5592978 Fax. ",,14909-U,"GST No. 001831837696 "
CKH Marketing Sdn. Bhd.,"12, Jalan Hamiton, "," ",Penang,-,11600,Malaysia,"Tel. 04-2810158,04-2810226 Fax. ",,,GST No.  MS LEE
French-Malaysian Holdings Sdn. Bhd.,"No.931 Jalan DS 3/1,","Bandar Dataran Segar, Lukut",Pork Dickson,Negeri Sembilan,71010,Malaysia,"Tel. 06-6519100/9200,012-6783861 Fax. 06-6519200",,434195-X,"GST No. 000509599744 Batu 11,
Jln Kampar
31920 Ayer Kuning,
Perak
05-4783202"
Soh Lai Ngiap,"626, Jalan 7,  Kampung Valdor"," ",Sg. Bakap,Penang,14200,Malaysia,"Tel.  Fax. ",,,"GST No.  "
Pang Puan's Livestocks Farm,"8A, Lorong Bercham 19, Kampung Bercham,"," ",Ipoh,Perak,31400,Malaysia,"Tel. 05-5450363 Fax. ",,000226159-V,"GST No. 001752408064 "
Boo Jok Hong Ent Sdn Bhd,"No.2116 &2117, Jalan Rozhan,","Taman Impian Ria, ",Bukit Mertajam,Pulau Pinang,14000,Malaysia,"Tel. 04-5888222,012-4336668,0174933288 Fax. ",,1181196-K,"GST No. 001876766720 "
WWB Top Trading,"78,Jalan Besar, Ulu Yam Baru,"," ",Batang Kali,Selangor,44300,Malaysia,"Tel.  Fax. ",,002425045-U,"GST No.  "
Fen Kee,"387,Jalan Woo Saik Hong "," ",Teluk Intan,Perak,36000,Malaysia,"Tel. 016-4473306 Fax. ",,AC0001555-D,"GST No.  "
KTY Chemicals Sdn Bhd,"65,Jalan Cenderawasih 3, Taman Cenderawasih Indah,"," ",Nibong Tebal,Penang,14300,Malaysia,Tel. 04-5982428 Fax. 04-5941142,,756612-X,"GST No. 000911286272 "
Sun Kheong Trading,"33,Jalan Masjid, "," ",Kampar,,31900,Malaysia,"Tel. 016-5991111/5111195,05-4663095 Fax. ",,IP0248375-T,"GST No. 001748647936 "
Vicmeta Composite Sdn Bhd,"Ragalia Bisiness Centre, No.29-2,Jalan USJ 1/1A,"," ",Subang Jaya,Selangor,47600,Malaysia,"Tel. 03-80241428 Fax. ",,840898-K,"GST No. 000099565568 "
Sin Chee Heng Scaffolding Trading,"No.2 psrn Perindustrian Pengkalan 8, Pengkalan Industry Area,"," ",Ipoh,Perak,31500,Malaysia,"Tel.  Fax. ",,IP0174511-K,"GST No. 001892368384 "
Solid Pairs Sdn Bhd,"57, Jalan Vethavanam Off Jalan Ipoh Batu 3,5 "," ",Kuala Lumpur,Perak,51100,Malaysia,"Tel. 01131774871,018-3883018 Fax. ",,,"GST No.  Lot 5074,5075,5076
Mukim Jangkat Jong,
Hilir Perak"
Neutastic Marketing Sdn Bhd,"No.59-1, Jalan Puteri 5/10,","Bandar Puteri ",Puchong,Selangor,47100,Malaysia,"Tel. 03-80682999,016-2711888 Fax. 03-80682666",,722085-T,"GST No. 000023216128 "
Liberty Insurance Berhad,"Tingkat 9, Menara Liberty 1008 Jalan Sultan Ismail"," ",Kuala Lumpur,KL,50250,Malaysia,"Tel.  Fax. ",,16688-K,"GST No. 001806139392 "
